review	label
사는 게 팍팍해서 숨이 턱 막혔는데 시원한 냉면 육수 들이키니 살 것 같네요 가슴속까지 뻥 뚫리는 기분입니다	0
데이트 하기 좋아요 분위기 좋아요 데이트 장소로 추천합니당 굿	0
맛있고 가성비에 좋아용	0
유명한 집이라 줄 서서 기다리느라 다리 아프고 힘들었는데 만두 육즙 맛보고 모든 게 이해됐어요ㅠㅠ	0
매번 포장해바다 오늘 처음 방문해서 식사해봤습니다. 여성분 코스크 하신 상태로 손님 응대 하시니 조금 불편했습니다. 그 상태로 조리도 하시던데 다른 손님이 계신거 같아 말씀 안드렸습니다. 다음부턴올바르게 착용해주시기 부탁드립니다. 또 주방에서 나오신 옷 그대로 입구 바로 옆에서 직원분들 흡연 하시고 다시 들어오시던데 다음부터는 조금 떨어진곳에서 해주시면 좋겠습니다. 모두 나가신 상태에서 배달의민족 주문이 들어오고 접수 받지않아 소리가 계속 끊이지 않고 들려 불편했습니다. 요즘 시국이 시국인 만큼 위생에 신경 부탁드립니다.	1
부서 통합되고 첫 전체 회식이라 서먹할까 봐 걱정했는데 안주가 워낙 맛있으니까 다들 먹으면서 금방 친해져서 다행이었어요	0
아이 유치원 친구들 가족 모임으로 예약했는데 애들 놀이방도 있고 음식도 자극적이지 않아서 부모님들도 애들도 다 같이 행복했어요	0
예약하고 갔는데 명단에 없다고 문전박대 당함 통화 내역 보여줘도 자리 없다는 말만 반복하니 원	1
노을 질 때 오니 분위기 깡패네요 붉은 노을 보며 와인 한잔하니 우울함이 낭만으로 승화돼요	0
부모님 결혼기념일이라 예약해드렸는데 두 분 다 너무 만족하셨대요 ㅎㅎ 특히 회가 엄청 신선했다고 칭찬하시네요~	0
직원한테 앞치마 달라고 세 번 말했는데 결국 안 갖다 줌 그냥 옷에 튀면서 먹음	1
아들 생일이라 좋아하는 돈가스 사주러 왔는데 치즈 늘어나는 거 보고 눈이 휘둥그레지네요 ㅋㅋ 아이들 입맛 저격입니다	0
아침부터 세수하다 옷 다 젖어서 신경질 났는데 고소한 들깨수제비 한 그릇 먹고 나니 마음이 평온해졌습니다.	0
직원들이 주방에서 마스크도 안 쓰고 큰 소리로 떠들면서 요리함 침 튀기는 거 다 보여서 입맛 떨어짐	1
벨 눌러도 직원들이 서로 미루느라 아무도 안 옴 결국 카운터 가서 주문함 서비스 마인드 최악	1
단순한 곱창집이 아니네요. 돼지곱창전골 한 입에 스트레스가 확 풀리는 기분이에요. 얼큰한 국물과 쫄깃한 곱창의 조화는 최고였습니다. 소주 한 잔 곁들이니 세상 부러울 게 없네요.	0
식전 빵이 돌덩이처럼 딱딱해서 이 나갈 뻔함 데워주지도 않고 그냥 줌	1
인생 하직하고 싶을 정도로 우울했는데 여기 회가 너무 싱싱해서 이거 먹으려면 돈 열심히 벌어야겠다 싶더라고요.	0
된장찌개에서 머리카락 뭉치 나옴.. 진짜 토할 뻔해서 바로 계산하고 나옴 다시는 안 감	1
인테리어도 깔끔하고 데이트하기 좋습니다 음식도 맛있어요 추천합니다	0
피클에서 머리카락 나왔는데 그냥 새걸로 바꿔주면 끝인가요 사과가 먼저 아닌가	1
깔끔하고 맛있습니다. 매장 분위기도 좋아요!!	0
완전 맛있어요또올듯합니당	0
오랜만에 모인 사촌 형제들이랑 할머니 댁 근처 고기집 왔는데 사장님이 조카들 용돈 주듯 서비스 챙겨주셔서 고향 정 제대로 느꼈어요ㅋㅋ	0
남편이랑 연애 때 자주 가던 포장마차 우동이 생각나서 왔는데 그 맛 그대로네요ㅠㅠ 추억 팔이 하면서 소주 한잔했습니다	0
너무 맛있고 대화하기도 좋아서 벌써 3번째 방문이에요! 사장님 더 번창하세요	0
오늘따라 화장 안 먹고 피부 뒤집어져서 짜증 났는데 신선한 샐러드 먹으니까 건강해지는 기분이라 좋네요.	0
온 가족이 편안하게 식사할 수 있는 넓고 깨끗한 공간이었어요. 아이와 함께 가도 전혀 불편함이 없었고 친절한 응대 덕분에 더욱 즐거운 식사였어요	0
분위기가 아주 좋았고, 와인을 시키면 파스타 하나가 무료인 점이 매우 좋았습니다.와인도 저렴 데이트하기에 좋은 장소로 다음에 재방문할 예정입니다.	0
피자 치즈가 고무처럼 질겨서 씹히지도 않아요 좋은 치즈 좀 쓰시지 돈 아까워 죽겠네	1
아이 데리고 갔는데 아이가 조금만 떠들어도 눈치 엄청 줌 노키즈존이라고 써 붙이던가	1
유모차 끄는 엄마들 6명이서 브런치 모임 하러 왔는데 통로도 넓고 아기 의자도 넉넉해서 눈치 안 보고 편하게 수다 떨었습니다	0
직원들이 홀 중앙에 모여서 자기들끼리 낄낄거리고 손님이 불러도 못 들은 척함 근무 태도 엉망	1
매운맛 조절 가능하대서 덜 맵게 해달랬는데 캡사이신 들이부은 줄.. 속 쓰려서 다 못 먹고 나옴	1
짬뽕 국물이 너무 짜서 뜨거운 물 부어 먹음 소금국 수준이라 도저히 못 먹겠음 주방장 미각 상실?	1
리필 반찬 재사용하는 거 목격함 다른 테이블에서 남긴 거 합치는 거 보고 충격받음	1
지나가다 보고 들어왔는데 들어오는 입구 찾기는 어려웠는데 너무 맛있고 정말 친절해요 양도 가격에 비해 좋고 술이 그냥 술술 들어갑니다. 정말 좋아요!	0
청모로 초대받아갔는데 양도 많고 맛도 좋고 단체로 모이기 너무 좋게 룸도 잘 되어있어여!! 서비스도 좋고 단체모임장소로 추천드려요!	0
남자친구 첫 회전초밥집인데도 거부감 없이 곧잘 먹더라구요 비리지 않고 신선해서 둘 다 잘 먹고 갑니당 자리도 너무 협소하지 않아서 편했어요!! 직원분들 너무 친절하셔서 데이트 코스로도 추천해요	0
핸드폰 액정 또 깨져서 진짜 내 손가락을 탓하며 화냈는데 달콤한 마카롱 한 입에 화난 게 싹 가라앉았네요.	0
